Comment,Designator,Footprint,LCSC
"10u","C201","Capacitor_SMD:C_0402_1005Metric","C76991"
"22u","C202","Capacitor_SMD:C_0402_1005Metric","C907955"
"0.1u","C203,C204,C205,C206,C301,C302,C303,C304,C305,C306,C307,C310,C312,C315,C401,C402,C403,C404,C405,C406,C407,C408,C409,C601,C602,C701,C702,C703,C704,C705,C706,C707,C710,C712,C715,C716,C717","Capacitor_SMD:C_0402_1005Metric","C1525"
"3.3u","C308,C708","Capacitor_SMD:C_0402_1005Metric","C694161"
"4.7u","C309,C311,C709,C711","Capacitor_SMD:C_0402_1005Metric","C368809"
"27p","C313,C314,C713,C714","Capacitor_SMD:C_0402_1005Metric","C1557"
"10n","C410","Capacitor_SMD:C_0402_1005Metric","C60133"
"LED","D201,D202","LED_SMD:LED_0402_1005Metric","C136765"
"D5V0L1B2S9-7","D203,D701","Diode_SMD:D_SOD-923","C508181"
"GBLC03CI","D204","Diode_SMD:D_SOD-323","C2936994"
"120R","FB201,FB202,FB703","Inductor_SMD:L_0603_1608Metric","C279682"
"600R","FB301,FB302,FB701,FB702","Inductor_SMD:L_0603_1608Metric","C1002"
"Conn_01x03_Male","J201","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"USB_C_Receptacle_USB2.0","J202,J701","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Conn_01x02_Male","J203,J401","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_02x06_Odd_Even","J301","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","C5224012"
"Conn_01x04_Male","J302,J305","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","C91552"
"Conn_01x06_Male","J303,J304","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","C5224026"
"Conn_02x20_Odd_Even","J501,J502,J503,J504","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","C5224014"
"Conn_02x02_Odd_Even","J601,J602","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","C492419"
"Raspberry Pi 4B","J603","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","C2977589"
"220","R201","Resistor_SMD:R_0402_1005Metric","C25091"
"5.1k","R202,R203,R706,R707","Resistor_SMD:R_0402_1005Metric","C105872"
"165","R204","Resistor_SMD:R_0402_1005Metric","C159101"
"12k","R301,R302,R701,R702","Resistor_SMD:R_0402_1005Metric","C25752"
"10k","R303,R304,R305,R401,R402,R403,R404,R405,R406,R407,R408,R703,R704,R705","Resistor_SMD:R_0402_1005Metric","C140214"
"2.2k","R306,R708","Resistor_SMD:R_0402_1005Metric","C25879"
"8.2k","R409","Resistor_SMD:R_0402_1005Metric","C103167"
"68k","R410","Resistor_SMD:R_0402_1005Metric","C36871"
"10k","RN301,RN302,RN401,RN402,RN403,RN404,RN405,RN406,RN407,RN408,RN601","Resistor_SMD:R_Array_Convex_2x0402","C695179"
"TestPoint","TP201,TP202,TP203","TestPoint:TestPoint_Pad_D2.0mm",""
"AZ1117IH-3.3TRG1","U201","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C108495"
"FT4232HL-REEL","U301,U701","Package_QFP:LQFP-64_10x10mm_P0.5mm","C56742"
"93LC56BT-I/OT","U302,U702","Package_TO_SOT_SMD:SOT-23-6","C190271"
"MCP23017T-E/SS","U401,U402,U403,U404,U405,U406,U407,U408","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","C558584"
"BL1551B","U409,U410","Package_TO_SOT_SMD:SOT-363_SC-70-6","C2944066"
"NE555DR","U411","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7593"
"12MHz","Y301,Y701","Crystal:Crystal_SMD_HC49-SD","C14871"
