Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,10u,C_0402_1005Metric,123.0538,-137.4714,90,top
C202,22u,C_0402_1005Metric,125.3398,-137.4714,90,top
C203,0.1u,C_0402_1005Metric,115.9164,-143.2372,0,top
C204,0.1u,C_0402_1005Metric,119.0914,-141.3068,180,top
C207,0.1u,C_0402_1005Metric,238.125,-145.7706,-90,top
C208,0.1u,C_0402_1005Metric,231.8004,-146.3294,-90,top
C209,0.1u,C_0402_1005Metric,154.6098,-143.7387,-90,top
C210,0.1u,C_0402_1005Metric,160.9344,-144.2975,-90,top
C301,0.1u,C_0402_1005Metric,142.0276,-135.0838,90,top
C302,0.1u,C_0402_1005Metric,135.8114,-146.0432,0,top
C303,0.1u,C_0402_1005Metric,142.5356,-146.082,180,top
C304,0.1u,C_0402_1005Metric,145.5674,-135.0838,-90,top
C305,0.1u,C_0402_1005Metric,143.3484,-135.0838,-90,top
C306,10u,C_0402_1005Metric,133.1396,-138.6906,180,top
C307,10u,C_0402_1005Metric,133.1396,-144.431,180,top
C308,27p,C_0402_1005Metric,135.576,-134.0678,180,top
C309,27p,C_0402_1005Metric,133.925,-135.4394,0,top
C401,0.1u,C_0402_1005Metric,128.7018,-126.4438,-90,top
C402,0.1u,C_0402_1005Metric,134.1882,-126.4412,-90,top
C403,0.1u,C_0402_1005Metric,139.3444,-117.9322,0,top
C404,0.1u,C_0402_1005Metric,137.2362,-113.8936,0,top
C405,0.1u,C_0402_1005Metric,126.1364,-112.4432,90,top
C406,0.1u,C_0402_1005Metric,139.0396,-120.9294,-90,top
C407,0.1u,C_0402_1005Metric,124.6378,-123.4694,180,top
C408,0.1u,C_0402_1005Metric,196.075,-124.775,0,top
C409,0.1u,C_0402_1005Metric,219.9,-101.85,180,top
C410,0.1u,C_0402_1005Metric,220,-125.375,180,top
C411,0.1u,C_0402_1005Metric,223.3,-147.725,180,top
C412,3.3u,C_0402_1005Metric,136.1694,-112.8014,0,top
C413,4.7u,C_0402_1005Metric,122.4788,-114.6302,180,top
C414,0.1u,C_0402_1005Metric,122.4788,-113.5126,180,top
C415,4.7u,C_0402_1005Metric,122.7328,-120.5484,180,top
C416,0.1u,C_0402_1005Metric,122.7328,-121.5898,180,top
C417,0.1u,C_0402_1005Metric,115.5446,-115.2398,0,top
C418,0.1u,C_0402_1005Metric,115.4684,-111.8362,180,top
C419,0.1u,C_0402_1005Metric,196.825,-79.525,90,top
C420,0.1u,C_0402_1005Metric,213.2,-79.475,90,top
C421,0.1u,C_0402_1005Metric,197.025,-147.775,180,top
C422,0.1u,C_0402_1005Metric,200.925,-102.325,-90,top
C423,27p,C_0402_1005Metric,122.4788,-112.268,0,top
C424,27p,C_0402_1005Metric,122.4788,-111.0488,0,top
C425,0.1u,C_0402_1005Metric,126.7968,-109.1946,90,top
C426,0.1u,C_0402_1005Metric,175.3108,-145.8468,90,top
C427,10n,C_0402_1005Metric,184.0484,-149.5806,-90,top
C601,0.1u,C_0402_1005Metric,162.4584,-138.303,0,top
C602,0.1u,C_0402_1005Metric,162.4584,-140.843,0,top
D201,PMEG40,D_SOD-323,120.5392,-136.9126,90,top
D202,PMEG40,D_SOD-323,127.9306,-136.9126,-90,top
D203,LED,LED_0402_1005Metric,105.9918,-128.1938,0,top
D204,LED,LED_0402_1005Metric,105.9847,-130.4544,0,top
D205,PMEG40,D_SOD-323,116.5006,-145.1422,180,top
D207,PMEG40,D_SOD-323,236.0168,-146.3548,90,top
D208,PMEG40,D_SOD-323,156.7508,-144.327,90,top
D401,PMEG40,D_SOD-323,116.1288,-113.665,180,top
FB201,120R,L_0603_1608Metric,118.7866,-143.0086,0,top
FB203,120R,L_0603_1608Metric,233.6546,-146.6342,90,top
FB204,120R,L_0603_1608Metric,159.0802,-144.6023,90,top
FB301,600R,L_0603_1608Metric,132.8348,-137.1158,0,top
FB302,600R,L_0603_1608Metric,132.8328,-142.7546,0,top
FB401,600R,L_0603_1608Metric,122.174,-115.951,0,top
FB402,600R,L_0603_1608Metric,122.174,-119.2276,0,top
FB403,120R,L_0603_1608Metric,118.1354,-111.8362,180,top
J201,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,108.981,-140.7988,-90,top
J202,Conn_01x06_Male,PinHeader_1x06_P2.54mm_Vertical,129.7686,-90.0594,90,top
J301,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Horizontal,116.2812,-99.0092,180,top
J302,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,142.5448,-100.8634,180,top
J303,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,137.7058,-100.8884,180,top
J401,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,109.0168,-117.7036,-90,top
J402,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,165.5826,-146.431,180,top
J501,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,170.917,-83.477,0,top
J502,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,180.061,-83.477,0,top
