Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C302,0.1u,C_0402_1005Metric,-199.1614,-81.9658,0,bottom
C303,0.1u,C_0402_1005Metric,-193.6496,-81.9658,0,bottom
C304,0.1u,C_0402_1005Metric,-196.1642,-72.2884,0,bottom
C306,0.1u,C_0402_1005Metric,-191.2366,-77.089,90,bottom
C308,3.3u,C_0402_1005Metric,-198.7042,-72.2884,180,bottom
C313,27p,C_0402_1005Metric,-192.3542,-72.39,180,bottom
C314,27p,C_0402_1005Metric,-192.3542,-73.6346,180,bottom
C315,0.1u,C_0402_1005Metric,-194.5386,-79.248,-90,bottom
C401,0.1u,C_0402_1005Metric,-210.4,-105.125,90,bottom
C402,0.1u,C_0402_1005Metric,-210.4025,-117.83,90,bottom
C404,0.1u,C_0402_1005Metric,-190.4025,-105.1306,-90,bottom
C406,0.1u,C_0402_1005Metric,-190.4,-117.825,90,bottom
C601,0.1u,C_0402_1005Metric,-246.1768,-135.5344,90,bottom
C602,0.1u,C_0402_1005Metric,-246.1768,-132.9944,90,bottom
C701,0.1u,C_0402_1005Metric,-208.2038,-88.138,180,bottom
C703,0.1u,C_0402_1005Metric,-222.6564,-89.0524,0,bottom
C704,0.1u,C_0402_1005Metric,-215.0872,-91.5162,180,bottom
C705,0.1u,C_0402_1005Metric,-218.0336,-76.5302,90,bottom
C706,0.1u,C_0402_1005Metric,-218.567,-91.5416,0,bottom
C707,0.1u,C_0402_1005Metric,-210.0834,-79.5782,180,bottom
C708,3.3u,C_0402_1005Metric,-208.2038,-89.154,180,bottom
C715,0.1u,C_0402_1005Metric,-205.2066,-80.4672,180,bottom
J501,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,-242.037,-83.477,180,bottom
J502,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,-232.893,-83.477,180,bottom
J503,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,-182.601,-83.477,180,bottom
