Comment,Designator,Footprint,LCSC Part Number
10u,"C201,C306,C307",Capacitor_SMD:C_0402_1005Metric,C76991
22u,C202,Capacitor_SMD:C_0402_1005Metric,C907955
0.1u,"C203,C204,C205,C206,C207,C208,C209,C210,C301,C302,C303,C304,C305,C401,C402,C403,C404,C405,C406,C407,C408,C601,C602",Capacitor_SMD:C_0402_1005Metric,C1525
27p,"C308,C309",Capacitor_SMD:C_0402_1005Metric,C1557
PMEG40,"D201,D202,D205,D206,D207,D208",Diode_SMD:D_SOD-323,C36975
LED,"D203,D204",LED_SMD:LED_0402_1005Metric,C136765
120R,"FB201,FB202,FB203,FB204",Inductor_SMD:L_0603_1608Metric,C279682
600R,"FB301,FB302",Inductor_SMD:L_0603_1608Metric,C1002
USB_C_Receptacle_USB2.0,J201,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
220,R201,Resistor_SMD:R_0402_1005Metric,C25091
5.1k,"R202,R203",Resistor_SMD:R_0402_1005Metric,C105872
165,R204,Resistor_SMD:R_0402_1005Metric,C159101
10k,"R301,R302,R401,R402,R403,R404,R405,R406,R407,R408,R409,R410,R411,R412,R413,R414,R415,R416,R417,R418,R419,R420,R421,R422,R423,R424,R425,R426,R427,R428,R429,R430,R431,R432",Resistor_SMD:R_0402_1005Metric,C140214
12k,"R303,R304",Resistor_SMD:R_0402_1005Metric,C25752
2.2k,R305,Resistor_SMD:R_0402_1005Metric,C25879
10k,"RN401,RN402,RN403,RN404,RN405,RN406,RN407,RN408",Resistor_SMD:R_Array_Convex_2x0402,C695179
AZ1117IH-3.3TRG1,U201,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C108495
FT232HQ-REEL,U301,Package_DFN_QFN:QFN-48-1EP_8x8mm_P0.5mm_EP6.2x6.2mm,C82158
93LC56BT-I/OT,U302,Package_TO_SOT_SMD:SOT-23-6,C190271
MCP23017_SS,"U401,U402,U403,U404,U405,U406,U407,U408",Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,C558584
12MHz,Y301,Crystal:Crystal_SMD_HC49-SD,C14871
