Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,10u,C_0402_1005Metric,123.3424,-117.6782,90,top
C202,22u,C_0402_1005Metric,125.6284,-117.6782,90,top
C203,0.1u,C_0402_1005Metric,116.205,-123.444,0,top
C204,0.1u,C_0402_1005Metric,119.38,-121.5136,180,top
C205,0.1u,C_0402_1005Metric,119.4562,-107.442,0,top
C206,0.1u,C_0402_1005Metric,119.9388,-113.3602,0,top
C207,0.1u,C_0402_1005Metric,238.125,-145.7706,-90,top
C208,0.1u,C_0402_1005Metric,231.8004,-146.3294,-90,top
C209,0.1u,C_0402_1005Metric,154.6098,-143.7387,-90,top
C210,0.1u,C_0402_1005Metric,160.9344,-144.2975,-90,top
C301,0.1u,C_0402_1005Metric,142.3162,-115.2906,90,top
C302,0.1u,C_0402_1005Metric,136.1,-126.25,0,top
C303,0.1u,C_0402_1005Metric,142.8242,-126.2888,180,top
C304,0.1u,C_0402_1005Metric,144.9832,-115.2906,-90,top
C305,0.1u,C_0402_1005Metric,143.637,-115.2906,-90,top
C306,10u,C_0402_1005Metric,133.4282,-118.8974,180,top
C307,10u,C_0402_1005Metric,133.4282,-124.6378,180,top
C308,27p,C_0402_1005Metric,135.8646,-114.2746,180,top
C309,27p,C_0402_1005Metric,134.2136,-115.6462,0,top
C401,0.1u,C_0402_1005Metric,196.075,-124.775,0,top
C402,0.1u,C_0402_1005Metric,219.9,-101.85,180,top
C403,0.1u,C_0402_1005Metric,220,-125.375,180,top
C404,0.1u,C_0402_1005Metric,223.3,-147.725,180,top
C405,0.1u,C_0402_1005Metric,196.825,-79.525,90,top
C406,0.1u,C_0402_1005Metric,213.2,-79.475,90,top
C407,0.1u,C_0402_1005Metric,197.025,-147.775,180,top
C408,0.1u,C_0402_1005Metric,200.925,-102.325,-90,top
C601,0.1u,C_0402_1005Metric,162.4584,-138.303,0,top
C602,0.1u,C_0402_1005Metric,162.4584,-140.843,0,top
D201,PMEG40,D_SOD-323,120.8278,-117.1194,90,top
D202,PMEG40,D_SOD-323,128.2192,-117.1194,-90,top
D203,LED,LED_0402_1005Metric,106.3982,-128.0922,0,top
D204,LED,LED_0402_1005Metric,106.3911,-130.3528,0,top
D205,PMEG40,D_SOD-323,116.7892,-125.349,180,top
D206,PMEG40,D_SOD-323,120.015,-109.3978,180,top
D207,PMEG40,D_SOD-323,236.0168,-146.3548,90,top
D208,PMEG40,D_SOD-323,156.7508,-144.327,90,top
FB201,120R,L_0603_1608Metric,119.0752,-123.2154,0,top
FB202,120R,L_0603_1608Metric,120.269,-111.6838,180,top
FB203,120R,L_0603_1608Metric,233.6546,-146.6342,90,top
FB204,120R,L_0603_1608Metric,159.0802,-144.6023,90,top
FB301,600R,L_0603_1608Metric,133.1234,-117.3226,0,top
FB302,600R,L_0603_1608Metric,133.1214,-122.9614,0,top
J201,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,109.2696,-121.0056,-90,top
J202,Conn_01x06_Male,PinHeader_1x06_P2.54mm_Horizontal,115.6778,-103.1748,180,top
J203,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Horizontal,115.6716,-110.8914,180,top
J301,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Horizontal,115.627,-140.9092,180,top
J302,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,140.475,-136.815,180,top
J303,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,135.636,-136.84,180,top
R201,220,R_0402_1005Metric,108.966,-128.0922,180,top
R202,5.1k,R_0402_1005Metric,116.0018,-119.1514,0,top
R203,5.1k,R_0402_1005Metric,116.205,-122.0216,180,top
R204,165,R_0402_1005Metric,108.9565,-130.3528,180,top
R301,10k,R_0402_1005Metric,133.4008,-127.6096,0,top
R302,10k,R_0402_1005Metric,133.4262,-126.0348,0,top
R303,12k,R_0402_1005Metric,145.9738,-119.761,-90,top
R304,12k,R_0402_1005Metric,133.4282,-120.2436,180,top
R305,2.2k,R_0402_1005Metric,140.15,-111.225,180,top
R401,10k,R_0402_1005Metric,196.5508,-112.4886,-90,top
